ID,Win,Side,Rank,Top_Current_Champ,Top_games_on_role,Top_games_on_champ,Jg_Current_Champ,Jg_games_on_role,Jg_games_on_champ,Mid_Current_Champ,Mid_games_on_role,Mid_games_on_champ,Bot_Current_Champ,Bot_games_on_role,Bot_games_on_champ,Sup_Current_Champ,Sup_games_on_role,Sup_games_on_champ,Top_Enemy_Champ,Jg_Enemy_Champ,Mid_Enemy_Champ,Bot_Enemy_Champ,Sup_Enemy_Champ,Top_First_Bloods,Top_Double_Kills,Top_Triple_Kills,Top_Quadra_Kills,Top_Penta_Kills,Top_CS_5,Top_Kills_5,Top_Deaths_5,Top_Assists_5,Top_CS_10,Top_Kills_10,Top_Deaths_10,Top_Assists_10,Top_CS_15,Top_Kills_15,Top_Deaths_15,Top_Assists_15,Top_KDA,Top_Kills,Top_Deaths,Top_Assists,Top_CS,Top_Damage_Dealt,Top_Damage_Taken,Top_Gold_Earned,Top_Turret_Damage,Top_Turret_Kills,Top_Turrt_Takedowns,Top_VisionW_Bought,Top_VisionW_Placed,Top_Wards_Placed,Top_Wards_Killed,Top_CC_Score,Jg_First_Bloods,Jg_Double_Kills,Jg_Triple_Kills,Jg_Quadra_Kills,Jg_Penta_Kills,Jg_CS_5,Jg_Kills_5,Jg_Deaths_5,Jg_Assists_5,Jg_CS_10,Jg_Kills_10,Jg_Deaths_10,Jg_Assists_10,Jg_CS_15,Jg_Kills_15,Jg_Deaths_15,Jg_Assists_15,Jg_KDA,Jg_Kills,Jg_Deaths,Jg_Assists,Jg_CS,Jg_Damage_Dealt,Jg_Damage_Taken,Jg_Gold_Earned,Jg_Turret_Damage,Jg_Turret_Kills,Jg_Turrt_Takedowns,Jg_VisionW_Bought,Jg_VisionW_Placed,Jg_Wards_Placed,Jg_Wards_Killed,Jg_CC_Score,Mid_First_Bloods,Mid_Double_Kills,Mid_Triple_Kills,Mid_Quadra_Kills,Mid_Penta_Kills,Mid_CS_5,Mid_Kills_5,Mid_Deaths_5,Mid_Assists_5,Mid_CS_10,Mid_Kills_10,Mid_Deaths_10,Mid_Assists_10,Mid_CS_15,Mid_Kills_15,Mid_Deaths_15,Mid_Assists_15,Mid_KDA,Mid_Kills,Mid_Deaths,Mid_Assists,Mid_CS,Mid_Damage_Dealt,Mid_Damage_Taken,Mid_Gold_Earned,Mid_Turret_Damage,Mid_Turret_Kills,Mid_Turrt_Takedowns,Mid_VisionW_Bought,Mid_VisionW_Placed,Mid_Wards_Placed,Mid_Wards_Killed,Mid_CC_Score,Bot_First_Bloods,Bot_Double_Kills,Bot_Triple_Kills,Bot_Quadra_Kills,Bot_Penta_Kills,Bot_CS_5,Bot_Kills_5,Bot_Deaths_5,Bot_Assists_5,Bot_CS_10,Bot_Kills_10,Bot_Deaths_10,Bot_Assists_10,Bot_CS_15,Bot_Kills_15,Bot_Deaths_15,Bot_Assists_15,Bot_KDA,Bot_Kills,Bot_Deaths,Bot_Assists,Bot_CS,Bot_Damage_Dealt,Bot_Damage_Taken,Bot_Gold_Earned,Bot_Turret_Damage,Bot_Turret_Kills,Bot_Turrt_Takedowns,Bot_VisionW_Bought,Bot_VisionW_Placed,Bot_Wards_Placed,Bot_Wards_Killed,Bot_CC_Score,Sup_First_Bloods,Sup_Double_Kills,Sup_Triple_Kills,Sup_Quadra_Kills,Sup_Penta_Kills,Sup_CS_5,Sup_Kills_5,Sup_Deaths_5,Sup_Assists_5,Sup_CS_10,Sup_Kills_10,Sup_Deaths_10,Sup_Assists_10,Sup_CS_15,Sup_Kills_15,Sup_Deaths_15,Sup_Assists_15,Sup_KDA,Sup_Kills,Sup_Deaths,Sup_Assists,Sup_CS,Sup_Damage_Dealt,Sup_Damage_Taken,Sup_Gold_Earned,Sup_Turret_Damage,Sup_Turret_Kills,Sup_Turrt_Takedowns,Sup_VisionW_Bought,Sup_VisionW_Placed,Sup_Wards_Placed,Sup_Wards_Killed,Sup_CC_Score
4272907266,True,Red,Platinum,Aatrox,8,4,Kayn,18,13,Ekko,18,16,Jhin,2,1,Soraka,19,15,Irelia,Zac,Azir,Zeri,Karma,4,17,2,0,0,22.4,0.55,0.55,0.5,61.8,1.5,1.05,1.45,2.8,1.9,2.45,97.5,4.293214285714287,6.85,4.5,7.25,175.75,16642.6,18581.6,11798.7,4559.1,1.7,2.6,2.6,2.0,9.75,3.15,13.95,1,14,0,0,0,29.6,0.2,0.25,0.5,60.1,1.25,0.95,1.2,2.6,2.1,2.15,87.4,3.5805735930735936,7.4,5.95,5.75,163.7,18959.45,32141.4,11687.35,1014.75,0.45,0.75,0.15,0.15,3.45,3.15,16.55,3,17,2,0,0,25.85,0.4,0.55,0.35,61.65,1.15,1.65,0.85,2.7,2.5,1.6,94.0,2.641892135642135,8.05,6.25,6.7,191.65,21448.45,23933.7,12617.8,4538.5,1.25,2.25,4.3,3.7,8.25,3.7,17.4,1,6,0,0,0,4.55,0.3,0.6,0.5,14.05,0.9,1.85,1.85,1.25,3.3,3.8,22.8,2.2726662430706552,2.7,8.65,11.4,52.85,14431.25,18585.15,8986.3,1613.95,0.55,1.4,3.35,2.65,23.8,3.45,45.75,0,1,0,0,0,2.2,0.15,0.25,0.45,6.2,0.45,0.75,1.95,0.75,1.75,4.1,11.5,3.7770833333333336,1.85,5.2,14.1,23.1,7102.85,12421.85,8352.1,1102.15,0.65,2.3,6.85,6.45,27.9,6.25,33.65
4272953233,True,Red,Platinum,Sejuani,11,11,Hecarim,3,0,Viktor,16,2,Ezreal,17,1,Lux,19,2,Sett,Nidalee,Vayne,Ashe,Maokai,0,2,0,0,0,13.3,0.0,0.55,0.65,37.15,0.5,1.1,1.45,1.0,1.7,2.9,59.25,3.8344047619047616,2.8,4.9,12.85,110.75,13478.8,23917.55,9726.9,978.5,0.4,1.4,3.4,3.0,17.5,4.15,34.85,1,6,0,0,0,13.55,0.65,0.6,0.55,33.6,1.2,1.9,1.6,2.1,3.45,2.8,54.1,2.025903540903541,5.15,7.9,8.65,110.6,17867.25,23667.25,10736.55,1529.35,0.65,1.25,2.75,2.55,20.9,5.65,24.2,1,9,0,0,0,26.15,0.25,0.45,0.4,64.1,0.75,1.5,0.95,1.65,2.7,1.9,99.5,3.553570596070596,4.9,6.0,7.2,162.0,16245.75,18081.95,10327.25,4095.55,1.15,2.25,1.85,1.55,8.25,1.9,23.25,6,11,0,0,0,23.0,0.55,0.55,0.35,56.05,1.35,1.9,1.3,2.7,3.0,2.25,86.75,2.6432593795093795,6.0,7.1,7.35,164.55,17084.9,18987.55,11177.65,2731.75,1.4,2.15,1.35,1.1,10.7,2.1,6.45,0,1,0,0,0,2.1,0.15,0.25,0.45,6.15,0.4,0.75,1.95,0.65,1.75,4.2,11.1,3.5729166666666665,1.65,5.3,13.65,22.2,6617.3,12480.05,8160.0,993.1,0.55,2.15,6.8,6.4,27.5,6.1,33.05
4272737250,False,Blue,Platinum,Riven,0,0,Kha'Zix,19,14,Anivia,15,3,Lucian,20,10,Soraka,19,16,Volibear,Ekko,Lux,Caitlyn,Karma,6,14,3,2,1,31.15,0.7,0.45,0.45,59.45,2.35,1.45,1.35,4.05,2.6,2.2,81.75,4.208035714285716,8.0,5.3,6.9,163.85,15485.3,31642.75,12226.8,4241.25,2.0,3.3,3.7,3.55,4.65,6.7,26.65,2,36,5,2,1,28.8,0.7,0.4,0.3,64.55,1.75,1.15,0.95,4.2,1.9,1.8,94.55,4.518432539682538,11.25,5.15,6.85,196.0,24103.15,31872.2,14157.3,2093.25,0.95,1.85,4.55,2.15,3.35,4.15,12.45,1,9,0,0,0,18.4,0.5,0.3,0.7,45.7,1.05,0.95,1.2,2.1,1.75,2.6,75.5,4.740456349206349,4.55,4.85,9.8,134.05,14323.0,15200.35,10277.4,2453.85,1.35,2.1,3.05,2.5,13.45,1.45,43.45,1,20,0,0,0,27.95,0.35,0.55,0.45,70.9,1.95,1.4,1.2,3.3,2.45,2.0,107.95,3.3038293650793653,7.25,5.7,6.75,207.6,19499.45,17980.6,12628.1,3933.65,1.45,2.3,2.55,2.15,9.6,2.95,2.95,0,1,0,0,0,2.1,0.1,0.25,0.45,6.1,0.35,0.7,2.1,0.6,1.7,4.35,11.2,3.659583333333334,1.65,5.4,14.35,22.85,6521.1,12615.05,8279.15,1025.25,0.6,2.35,6.8,6.5,27.7,6.4,31.85
4272724149,True,Blue,Platinum,Volibear,17,0,Ekko,18,16,Kai'Sa,17,18,Twitch,12,6,Soraka,19,16,Shen,Kha'Zix,Lux,Jhin,Nautilus,1,10,1,0,0,22.35,0.35,0.6,0.1,58.6,0.9,1.35,0.35,1.75,2.35,0.85,92.6,3.0498809523809522,5.75,5.15,5.95,181.5,21471.5,23860.65,11870.05,3635.85,1.5,2.15,1.4,1.05,8.8,2.65,24.5,2,20,5,1,0,25.5,0.4,0.4,0.45,54.85,2.1,0.95,1.3,4.2,1.65,3.25,81.0,6.922202380952382,10.9,4.9,9.65,174.5,23550.5,31591.4,13594.8,1593.5,0.5,1.35,0.5,0.2,0.95,4.45,17.3,6,16,1,0,0,30.45,0.8,0.35,0.2,72.25,1.35,1.2,0.8,2.7,2.25,1.3,115.35,4.9313383838383835,8.6,5.95,5.5,223.7,28444.55,17637.15,14036.15,3395.2,1.45,2.55,1.35,1.35,5.35,4.5,2.3,2,20,1,0,0,24.95,0.6,0.6,0.6,59.8,2.3,1.75,1.35,3.9,2.9,2.45,94.45,2.634321789321789,8.8,7.35,5.9,183.85,22534.3,25052.8,13077.1,3490.95,1.25,1.95,1.3,1.0,6.05,3.25,17.75,0,1,0,0,0,1.9,0.1,0.3,0.45,5.75,0.4,0.7,2.0,0.65,1.6,4.15,10.65,3.654583333333334,1.65,5.45,14.45,22.45,6689.15,12641.25,8281.2,1011.5,0.55,2.45,6.75,6.4,27.8,6.55,33.15
4272580522,True,Red,Platinum,Seraphine,0,1,Viego,17,0,Malzahar,8,3,Vayne,15,7,Soraka,19,15,Malphite,Shaco,Xerath,Twitch,0,0,1,0,0,0,0.4,0.0,0.05,0.25,1.2,0.1,0.25,0.5,0.2,0.35,0.8,1.95,0.725,0.4,0.7,2.6,3.35,1414.05,2503.5,1302.2,182.1,0.05,0.35,0.85,0.75,4.15,0.9,6.7,0,14,0,0,0,28.45,0.35,0.45,0.4,61.45,1.3,1.1,1.3,2.4,2.1,2.85,90.1,3.716363636363637,5.8,5.35,8.75,165.65,16756.45,26927.65,11351.45,1552.45,0.75,1.8,3.95,3.35,5.95,4.9,23.3,1,6,0,0,0,25.6,0.05,0.35,0.1,66.5,0.45,0.9,0.55,1.25,1.7,1.3,103.35,3.3963888888888887,4.35,5.15,8.85,191.4,21474.2,24401.2,11552.35,3450.0,1.45,2.6,0.0,0.0,9.15,1.9,39.6,5,25,5,1,0,27.4,0.7,0.45,0.45,68.4,1.7,1.0,1.05,3.55,1.95,2.2,103.5,4.2682738095238095,6.65,4.7,6.3,171.4,15838.1,17127.4,10762.8,4056.25,1.4,2.35,2.45,2.05,9.0,3.4,13.9,0,2,0,0,0,1.85,0.1,0.3,0.55,5.7,0.5,0.75,2.05,0.75,1.7,4.15,10.8,3.5045833333333336,1.75,5.65,14.25,23.0,6956.25,12691.7,8211.0,918.35,0.45,2.2,6.8,6.4,27.5,6.85,33.5
4272513267,False,Red,Platinum,Ornn,20,9,Diana,7,5,Annie,13,0,Draven,9,4,Soraka,19,14,Jax,Ekko,Yasuo,Jinx,Janna,4,8,1,0,0,24.0,0.55,0.4,0.25,61.7,1.25,1.3,0.75,2.4,2.45,1.05,100.7,2.4913618326118323,5.7,6.55,7.45,180.8,19121.6,35127.8,12001.8,4965.1,1.65,2.95,0.0,0.0,6.85,1.15,32.15,1,10,1,0,0,27.25,0.6,0.7,0.15,60.9,1.25,2.1,0.6,2.6,3.75,1.55,91.8,1.9150829725829728,7.4,9.05,8.4,194.65,27525.15,22802.7,13489.5,4102.05,1.65,2.55,1.45,1.45,15.35,4.35,21.5,3,13,1,0,0,26.55,0.4,0.35,0.25,61.75,1.05,0.95,0.95,2.05,1.95,1.95,95.6,3.645178571428571,7.3,4.75,7.45,176.5,21308.3,23064.6,12303.65,2377.1,0.95,2.15,2.65,2.0,7.35,2.05,20.05,1,13,1,0,0,27.75,0.5,0.25,0.35,66.9,1.4,0.85,0.7,2.2,1.9,1.6,98.5,2.2655266955266957,5.45,6.15,6.3,178.35,15461.55,23922.6,11224.15,3243.25,1.4,1.9,0.3,0.25,3.05,2.8,9.0,0,2,0,0,0,1.8,0.1,0.3,0.5,5.55,0.5,0.8,2.05,0.75,1.8,4.25,10.8,3.59625,1.65,5.6,14.75,23.8,7375.2,13255.9,8350.55,915.9,0.45,2.35,6.95,6.55,28.7,7.05,33.8
4272466615,False,Red,Platinum,Illaoi,20,20,Kindred,16,15,Lissandra,18,7,Tristana,20,2,Lux,17,2,Garen,Graves,LeBlanc,Kog'Maw,Soraka,2,6,2,0,0,25.9,0.5,0.35,0.2,70.7,1.25,1.4,0.3,1.9,2.8,0.4,115.85,1.5315674603174605,4.8,7.2,3.05,205.5,24471.15,31504.5,12343.05,9579.1,3.65,4.05,3.5,2.95,9.6,1.15,2.65,2,29,3,0,0,18.9,0.5,0.75,0.75,42.85,2.45,1.65,2.2,4.3,3.2,3.3,63.05,2.8890187590187595,8.75,8.35,8.5,163.45,20464.3,28097.65,12861.85,2499.75,1.35,2.35,3.45,3.0,7.55,6.55,14.8,0,14,1,0,0,26.05,0.05,0.5,0.45,65.35,0.95,1.0,1.15,2.7,1.85,2.45,96.75,3.921515151515152,6.55,5.9,9.95,161.05,19169.4,20964.45,11501.4,1938.55,1.05,1.8,3.35,3.0,12.2,3.15,27.5,2,24,3,1,0,28.2,0.55,0.25,0.4,71.35,1.35,1.05,1.05,2.5,2.15,2.25,109.5,3.8507683982683987,7.75,5.45,6.75,195.5,21228.1,18000.8,13218.65,5567.5,2.2,3.45,0.65,0.65,7.1,3.0,14.15,0,0,0,0,0,4.5,0.1,0.65,0.55,11.5,0.75,1.4,1.6,1.25,2.1,3.3,20.65,3.2149664224664223,2.35,6.1,12.7,38.8,11696.75,18325.35,8831.05,1012.6,0.45,2.4,5.35,4.15,28.3,5.7,30.8
4272421454,False,Blue,Platinum,Shen,16,0,Xin Zhao,16,10,Yasuo,18,17,Aphelios,13,8,Lux,20,12,Sett,Rengar,Vex,Caitlyn,Soraka,1,10,0,0,0,23.5,0.4,0.65,0.5,63.0,1.0,1.35,1.0,1.7,2.3,1.8,97.9,2.5972820235320238,4.85,6.35,7.65,190.5,19508.75,28736.7,12526.5,9364.25,3.3,4.1,0.35,0.3,9.3,1.8,18.35,3,35,4,1,0,25.35,0.8,0.3,0.75,58.1,2.35,0.8,1.65,4.05,1.8,3.05,90.8,5.008234126984127,9.7,5.8,9.4,188.3,22263.2,33796.25,13755.7,3291.4,1.05,2.65,1.7,1.25,2.9,4.35,17.35,4,23,2,0,0,29.25,0.95,0.45,0.35,70.05,2.05,1.6,1.1,3.5,3.0,2.15,105.05,3.150396825396825,9.45,7.05,5.9,211.25,22979.3,23044.7,13874.35,4323.45,1.95,2.8,1.6,1.4,6.85,2.4,24.6,1,28,6,1,0,26.65,0.5,0.5,0.35,63.2,1.6,1.75,1.4,3.15,2.95,2.05,97.85,3.4085119047619052,8.95,5.9,5.7,176.15,24038.2,16861.5,12434.8,4273.55,1.35,2.55,1.9,1.6,8.3,3.1,15.15,1,5,0,0,0,0.9,0.3,0.4,0.25,4.4,0.8,1.05,1.9,1.6,2.05,4.1,10.05,3.3910750360750357,3.85,5.6,10.9,30.25,13924.8,12454.0,9241.0,1243.3,0.45,1.95,1.6,1.25,26.25,7.5,37.6
4272933314,False,Blue,Platinum,Garen,15,15,Twitch,10,0,Anivia,15,15,Yasuo,2,14,Pyke,1,1,Gnar,Hecarim,Malzahar,Ezreal,Lux,2,3,0,0,0,24.0,0.5,0.55,0.2,58.25,1.45,1.6,0.75,2.0,2.4,1.85,91.6,2.394953102453102,4.9,6.05,5.25,175.75,14848.3,26631.95,11357.55,3618.65,1.4,2.4,1.95,1.6,7.45,2.95,26.15,4,13,0,0,0,23.05,0.6,0.3,0.2,52.1,1.5,1.45,0.9,2.35,2.45,2.45,78.5,2.7817261904761903,6.05,6.7,8.1,159.65,18012.2,29490.4,11548.2,2101.8,0.85,2.05,1.15,0.95,6.85,2.7,23.25,1,15,4,2,0,20.4,0.25,0.35,0.65,49.55,0.9,0.95,1.35,1.95,2.15,1.8,81.5,4.043131313131313,7.4,6.55,8.6,189.25,21186.35,26563.2,13048.2,2915.25,1.1,2.3,4.75,4.5,15.55,2.25,37.8,1,13,1,0,0,26.55,0.5,0.45,0.1,66.75,1.4,1.3,0.7,2.85,2.55,1.55,102.0,2.9799296536796542,6.7,6.75,6.15,193.8,15632.55,21525.7,12444.65,3271.75,1.45,2.2,0.55,0.5,9.0,2.1,14.95,3,30,7,0,0,25.3,0.6,0.5,0.4,57.9,1.7,1.55,1.35,3.2,2.75,2.3,88.6,2.5300072150072146,9.65,7.3,7.65,172.0,24925.7,20915.7,12959.3,2884.6,1.05,1.8,1.75,1.6,12.25,2.8,12.35
4272262012,True,Red,Platinum,Garen,15,2,Volibear,0,0,Yasuo,9,1,Zeri,18,1,Zilean,20,20,Irelia,Jarvan IV,Katarina,Jhin,Nasus,2,7,2,0,0,25.7,0.15,0.4,0.2,63.45,0.75,1.1,0.3,1.8,2.2,0.75,97.35,2.46992784992785,5.35,5.25,4.35,173.2,14834.5,23474.9,10741.2,3991.9,1.4,2.25,0.9,0.75,6.2,0.8,13.75,5,9,2,0,0,24.05,0.4,0.4,0.2,60.75,1.6,1.4,0.4,2.75,2.3,1.05,92.7,2.8172222222222225,7.1,5.15,4.8,159.15,17274.0,21939.65,10685.5,2173.85,0.8,1.35,2.7,1.65,6.9,1.45,25.6,3,5,0,0,0,24.4,0.6,0.5,0.2,54.4,1.45,1.45,0.5,2.5,2.55,1.7,81.85,3.4715782828282826,4.75,6.35,5.5,158.6,13678.6,24144.65,10063.6,1721.0,0.65,1.35,0.55,0.4,6.15,2.1,16.05,3,13,0,0,0,25.4,0.45,0.25,0.3,63.25,0.9,0.55,1.1,1.65,1.55,2.2,97.15,3.566742424242424,4.25,4.1,7.0,169.45,12298.45,15840.3,10371.55,1663.2,0.45,1.35,2.7,2.3,9.25,1.7,6.6,1,0,0,0,0,6.9,0.1,0.05,0.15,16.7,0.15,0.2,1.3,0.2,0.7,2.9,26.5,7.987499999999999,0.7,2.1,14.5,55.95,6061.95,12931.55,8348.25,524.3,0.3,1.85,3.1,2.8,27.95,7.65,23.8
