ID,Rank,TOP_BLUE_Champ,JG_BLUE_Champ,MID_BLUE_Champ,BOT_BLUE_Champ,SUP_BLUE_Champ,TOP_RED_Champ,JG_RED_Champ,MID_RED_Champ,BOT_RED_Champ,SUP_RED_Champ,Blue_Win,Red_Win
4254552847,diamond,Jayce,Ekko,Veigar,Tahm Kench,Senna,Akali,Talon,Gragas,Jhin,Lux,False,True
4251572080,diamond,Aatrox,Jarvan IV,Akali,Aphelios,Soraka,Mordekaiser,Viego,Karma,Ezreal,Leona,True,False
4251403578,diamond,Camille,Master Yi,Yasuo,Ezreal,Nautilus,Irelia,Rammus,Katarina,Kai'Sa,Leona,False,True
4250631950,diamond,Akali,Kayn,Cassiopeia,Xayah,Thresh,Fiora,Jarvan IV,Yasuo,Kai'Sa,Yuumi,False,True
4249706191,diamond,Singed,Talon,Ahri,Ashe,Blitzcrank,Akali,Graves,Lissandra,Jhin,Nautilus,True,False
4249710213,diamond,Akali,Kha'Zix,Cassiopeia,Kai'Sa,Pantheon,Gangplank,Olaf,Ryze,Aphelios,Seraphine,True,False
4247789680,platinum,Malphite,Lee Sin,Qiyana,Vayne,Alistar,Akali,Rek'Sai,Rumble,Jhin,Morgana,False,True
4247794168,diamond,Akali,Vi,Sylas,Jhin,Pyke,Fiora,Volibear,Yasuo,Caitlyn,Taliyah,True,False
4247736076,diamond,Irelia,Fiddlesticks,Akali,Lucian,Senna,Zeri,Rek'Sai,Karma,Jinx,Leona,True,False
4246948912,diamond,Yorick,Skarner,Akali,Jhin,Senna,Camille,Hecarim,Ahri,Kai'Sa,Nautilus,False,True
4246970153,platinum,Kayle,Viego,Yone,Zeri,Yuumi,Akali,Rammus,Singed,Caitlyn,Janna,False,True
4246375288,diamond,Akali,Graves,Ahri,Caitlyn,Zilean,Tryndamere,Taliyah,Malzahar,Lucian,Nami,True,False
4246251453,diamond,Akali,Kha'Zix,Katarina,Lucian,Nami,Shen,Graves,Lux,Kai'Sa,Sona,False,True
4245964264,diamond,Gragas,Kayn,Vex,Vayne,Soraka,Irelia,Diana,Ekko,Ezreal,Thresh,False,True
4240219682,diamond,Zeri,Diana,Sylas,Ezreal,Yuumi,Camille,Graves,Ahri,Lucian,Nami,False,True
4239270614,diamond,Akali,Talon,Vladimir,Jinx,Bard,Tahm Kench,Nidalee,Karthus,Ezreal,Rakan,True,False
4238540881,platinum,Aatrox,Zac,Sylas,Jhin,Pyke,Camille,Qiyana,Lissandra,Vayne,Soraka,False,True
4237493245,platinum,Wukong,Jarvan IV,Viktor,Draven,Karma,Irelia,Graves,Lux,Jhin,Janna,False,True
4237448894,platinum,Vayne,Graves,Irelia,Karthus,Soraka,Gangplank,Xin Zhao,Veigar,Jinx,Senna,False,True
4237414308,diamond,Fiora,Ekko,Yone,Ezreal,Senna,Akali,Nocturne,Qiyana,Lucian,Lux,False,True
4236401860,platinum,Aatrox,Lee Sin,Fizz,Lucian,Thresh,Akali,Viego,Akshan,Samira,Rell,False,True
4236327699,platinum,Camille,Rek'Sai,Heimerdinger,Zeri,Swain,Akali,Hecarim,Vladimir,Jhin,Xerath,False,True
4232513767,platinum,Akali,Rek'Sai,Talon,Jinx,Tahm Kench,Irelia,Rengar,Swain,Kai'Sa,Nami,False,True
4232445615,diamond,Irelia,Nunu & Willump,Seraphine,Jinx,Janna,Kayle,Hecarim,Lissandra,Jhin,Zilean,False,True
4232451328,diamond,Renekton,Taliyah,Vladimir,Twitch,Taric,Irelia,Nocturne,Lissandra,Zeri,Miss Fortune,True,False
4232338951,platinum,Malphite,Kha'Zix,Veigar,Caitlyn,Sona,Akali,Volibear,Pyke,Lucian,Nami,False,True
4229025608,diamond,Sett,Amumu,Akali,Ezreal,Brand,Sion,Volibear,Irelia,Kai'Sa,Swain,False,True
4228105691,platinum,Sett,Gwen,Irelia,Zeri,Bard,Fiora,Master Yi,Jarvan IV,Jinx,Lulu,True,False
4227948199,diamond,Irelia,Nocturne,Viktor,Twitch,Alistar,Sejuani,Viego,Akali,Miss Fortune,Senna,True,False
4226637708,platinum,Jayce,Fiddlesticks,Irelia,Ezreal,Renata Glasc,Aatrox,Trundle,Viktor,Aphelios,Zilean,True,False
4225783503,platinum,Gangplank,Nocturne,Veigar,Ezreal,Renata Glasc,Irelia,Graves,Vex,Tristana,Sona,False,True
4225754481,diamond,Ornn,Kha'Zix,Malzahar,Caitlyn,Morgana,Gwen,Sejuani,Irelia,Jhin,Soraka,False,True
4225542700,platinum,Kayle,Hecarim,Irelia,Jinx,Lulu,Sett,Master Yi,Veigar,Zeri,Nami,False,True
4224261736,platinum,Cho'Gath,Graves,Fizz,Ezreal,Nami,Cassiopeia,Kayn,Akali,Caitlyn,Sona,False,True
4223142274,diamond,Akali,Sejuani,Irelia,Jhin,Bard,Vladimir,Nunu & Willump,Qiyana,Ziggs,Yuumi,False,True
4220524001,platinum,,,,,,,,,,,False,True
4217272808,platinum,Gangplank,Graves,Brand,Caitlyn,Nami,Darius,Warwick,Cassiopeia,Ashe,Morgana,False,True
4216366764,platinum,Fiora,Vi,Ziggs,Jhin,Sylas,Akali,Diana,Yone,Ashe,Leona,False,True
4216324145,diamond,Cho'Gath,Kayn,Yasuo,Jinx,Swain,Irelia,Hecarim,Karma,Kai'Sa,Pyke,True,False
4214472905,diamond,Shen,Trundle,Sylas,Tristana,Lux,Yone,Shaco,Irelia,Jhin,Yuumi,True,False
4213299257,platinum,Yone,Kha'Zix,Akali,Jinx,Lulu,Yorick,Viego,Xerath,Caitlyn,Blitzcrank,True,False
4213312776,diamond,Irelia,Diana,Ekko,Samira,Nautilus,Sett,Graves,Karma,Lucian,Nami,True,False
4213191869,platinum,Camille,Xin Zhao,Irelia,Miss Fortune,Leona,Shen,Morgana,Akali,Jinx,Lulu,True,False
4213129071,platinum,Garen,Viego,Akali,Zeri,Leona,Riven,Lee Sin,Ahri,Sivir,Soraka,True,False
4213115330,platinum,Garen,Rengar,Cassiopeia,Ashe,Janna,Sion,Sejuani,Zed,Jinx,Seraphine,True,False
4213152036,diamond,Irelia,Lee Sin,Yasuo,Jhin,Soraka,Wukong,Hecarim,Sylas,Zeri,Braum,False,True
4212740146,platinum,Sion,Trundle,Galio,Draven,Sona,Irelia,Zac,Lux,Vayne,Zilean,False,True
4212704335,diamond,Gragas,Graves,Irelia,Jinx,Rakan,Jayce,Shaco,Zed,Kai'Sa,Leona,False,True
4212348081,diamond,Malphite,Kha'Zix,Irelia,Aphelios,Thresh,Tryndamere,Graves,Viktor,Zeri,Nautilus,False,True
4212333501,platinum,Mordekaiser,Graves,Ahri,Jhin,Thresh,Gwen,Ekko,Irelia,Samira,Leona,True,False
4212277799,platinum,Akali,Kindred,Ahri,Zeri,Blitzcrank,Teemo,Viego,Irelia,Jhin,Nautilus,True,False
4208431982,diamond,Akali,Trundle,Cassiopeia,Zeri,Senna,Gnar,Jarvan IV,Veigar,Jinx,Alistar,True,False
4207340967,diamond,Camille,Graves,LeBlanc,Twitch,Lulu,Darius,Sejuani,Viktor,Jinx,Janna,True,False
4207284425,platinum,Tahm Kench,Amumu,Galio,Senna,Twitch,Irelia,Rek'Sai,Akali,Caitlyn,Heimerdinger,True,False
4206434442,diamond,Yasuo,Diana,Viego,Kai'Sa,Senna,Tryndamere,Evelynn,Irelia,Zeri,Lulu,True,False
4203458569,diamond,Aatrox,Sejuani,Camille,Jhin,Lux,Janna,Kayn,Yasuo,Tristana,Nami,True,False
4203455521,platinum,Gangplank,Graves,Irelia,,Janna,Sett,Jarvan IV,Camille,Ashe,Pyke,False,True
4201901449,platinum,Sett,Shaco,Katarina,Vayne,Leona,Akali,Viego,LeBlanc,Draven,Brand,False,True
4201809719,platinum,Camille,Sejuani,Vladimir,Ezreal,Blitzcrank,Yone,Hecarim,Sylas,Jinx,Leona,False,True
4200903257,diamond,Camille,Lee Sin,Irelia,Vayne,Shaco,Sion,Skarner,Sylas,Caitlyn,Xerath,True,False
4199433755,diamond,Rek'Sai,Nidalee,Zeri,Jhin,Sona,Gnar,Zac,Irelia,Tristana,Nautilus,False,True
4199336641,platinum,Cho'Gath,Xin Zhao,Zoe,Jinx,Janna,Sett,Zac,Akali,Jhin,Pyke,True,False
4198043136,platinum,Kennen,Rengar,Irelia,Ziggs,Nautilus,Singed,Zac,Ekko,Jhin,Leona,False,True
4197986404,platinum,Sett,Zac,Neeko,Jhin,Jarvan IV,Akali,Teemo,Corki,Tristana,Blitzcrank,True,False
4197249398,platinum,Wukong,Kha'Zix,Lissandra,Kai'Sa,Yuumi,Camille,Sejuani,Qiyana,Aphelios,Soraka,False,True
4197212121,diamond,Shen,Amumu,Gangplank,Zeri,Karma,Draven,Lee Sin,Irelia,Caitlyn,Brand,True,False
4196533367,platinum,Gragas,Shaco,Ekko,Lucian,Nami,Camille,Lee Sin,Kayle,Vayne,Lux,False,True
4196517515,diamond,Akali,Rammus,Tryndamere,Vayne,Sona,Darius,Rek'Sai,Veigar,Jhin,Senna,True,False
4196473624,platinum,Irelia,Nunu & Willump,Vex,Ezreal,Thresh,Akali,Lee Sin,Katarina,Tahm Kench,Senna,True,False
4196460167,platinum,Gragas,Kayn,Irelia,Jhin,Blitzcrank,Garen,Zed,Ahri,Jinx,Zoe,False,True
4195418522,platinum,Urgot,Hecarim,Fizz,Jinx,Thresh,Camille,Vi,Irelia,Kai'Sa,Senna,False,True
4195242853,diamond,Camille,Kindred,Veigar,Jhin,Janna,Dr. Mundo,Nunu & Willump,Anivia,Caitlyn,Karma,True,False
4195198711,platinum,Camille,Lillia,Viktor,Ezreal,Janna,Malphite,Trundle,Vex,Jinx,Karma,True,False
4194659943,diamond,Camille,Xin Zhao,Viktor,Aphelios,Thresh,Renekton,Diana,Yasuo,Ezreal,Karma,True,False
4194063581,platinum,Darius,Ekko,Irelia,Kai'Sa,Rakan,Sett,Shaco,Fizz,Veigar,Seraphine,True,False
4194059867,platinum,Fiora,Nocturne,Akali,Zeri,Janna,Darius,Rek'Sai,Katarina,Jinx,Lux,False,True
4192922121,,Kennen,Lee Sin,Irelia,Jhin,Leona,Sion,Rumble,Viktor,Caitlyn,Senna,True,False
4192842746,platinum,Pantheon,Warwick,Xerath,Jhin,Yuumi,Ekko,Vel'Koz,Irelia,Caitlyn,,True,False
4192732118,diamond,Nasus,Lee Sin,Ekko,Samira,Leona,Yorick,Zed,Akali,Ezreal,Nautilus,True,False
4192551350,platinum,Fiora,Rengar,Kai'Sa,Ezreal,Yuumi,Riven,Ekko,Irelia,Jinx,Lux,False,True
4192495481,platinum,Akali,Xin Zhao,LeBlanc,Caitlyn,Morgana,Camille,Nocturne,Anivia,Zeri,Braum,False,True
4192481881,platinum,Aatrox,Ivern,Irelia,Zeri,,Garen,Fiddlesticks,Malzahar,Ashe,Galio,False,True
4191778430,platinum,Shen,Jarvan IV,Akali,Senna,Janna,Teemo,Hecarim,Viktor,Kai'Sa,Yuumi,True,False
4191668944,platinum,Vladimir,Hecarim,Akshan,Zeri,Sona,Irelia,Graves,Diana,Kai'Sa,Janna,True,False
4191632858,platinum,Gangplank,Volibear,Ahri,Senna,Janna,Camille,Warwick,Vex,Twitch,Yuumi,True,False
4191559207,platinum,Urgot,Master Yi,Viktor,Caitlyn,Fiddlesticks,Pantheon,Viego,Akali,Jinx,Lulu,False,True
4191403730,diamond,Camille,Hecarim,Taliyah,Jhin,Janna,Kled,Kha'Zix,Rumble,Twitch,Lulu,True,False
4191329470,platinum,Malphite,Elise,Wukong,Jinx,Janna,Cho'Gath,Diana,Camille,Zeri,Pyke,True,False
4190360654,platinum,Aatrox,Olaf,Kalista,Kai'Sa,Zyra,Ornn,Diana,Akali,Yasuo,Nami,False,True
4190283080,platinum,Gangplank,Shaco,Veigar,Kai'Sa,Thresh,Teemo,Yuumi,Irelia,Twitch,,False,True
4190136585,diamond,Renekton,Trundle,Viktor,Aphelios,Lux,Nasus,Amumu,Irelia,Jhin,Blitzcrank,False,True
4190045063,platinum,Ornn,Shaco,Ahri,Jinx,Janna,Darius,Kha'Zix,Irelia,Zeri,Xerath,True,False
4189968160,platinum,Kled,Graves,Ryze,Zeri,Zilean,Dr. Mundo,Hecarim,Irelia,Jinx,Rakan,True,False
4190011946,diamond,Gwen,Jarvan IV,Zed,Caitlyn,Zyra,Camille,Trundle,Morgana,Xayah,Janna,True,False
4189906465,platinum,Kled,Gangplank,Nasus,Jhin,Lulu,Camille,Lee Sin,Irelia,Sivir,Senna,False,True
4189114713,platinum,Viego,Warwick,Zed,Tristana,Xerath,Poppy,Ekko,Irelia,Jinx,Sona,False,True
4189006255,diamond,Garen,Viego,Akali,Draven,Blitzcrank,Akshan,Shaco,Sylas,Aphelios,Alistar,False,True
4188367650,diamond,Akali,Warwick,Ekko,Jinx,Braum,Camille,Kayn,Corki,Caitlyn,Vel'Koz,True,False
4186247554,platinum,Shen,Rengar,LeBlanc,Zeri,Janna,Riven,Diana,Irelia,Jhin,Lux,False,True
4254838388,diamond,Akshan,Kayn,Sylas,Ezreal,Leona,Garen,Nasus,Lissandra,Zeri,Karma,False,True
4254870485,diamond,Gnar,Lee Sin,Diana,Twitch,Yuumi,Garen,Kindred,Vex,Kai'Sa,Pyke,False,True
4254733386,diamond,Fiora,Kayn,Malphite,Twitch,Karma,Gnar,Xin Zhao,Akali,Jhin,Leona,True,False
4254628511,diamond,Jayce,Viego,Lissandra,Samira,Vex,Yasuo,Kindred,Lux,Ashe,Janna,False,True
