ID,B_Win,R_Win,B_Top,B_Top_Kills,B_Top_KDA,B_Jg,B_Jg_Kills,B_Jg_KDA,B_Mid,B_Mid_Kills,B_Mid_KDA,B_Sup,B_Sup_Kills,B_Sup_KDA,B_Bot,B_Bot_Kills,B_Bot_KDA,R_Top,R_Top_Kills,R_Top_KDA,R_Jg,R_Jg_Kills,R_Jg_KDA,R_Mid,R_Mid_Kills,R_Mid_KDA,R_Bot,R_Bot_Kills,R_Bot_KDA,R_Sup,R_Sup_Kills,R_Sup_KDA
4254552847,False,True,Jayce,5,1.2,Ekko,3,1.2307692307692308,Veigar,25,4.285714285714286,Senna,8,2.1666666666666665,Tahm Kench,3,5.666666666666667,Akali,10,3.4285714285714284,Talon,17,2.875,Gragas,13,1.8571428571428572,Jhin,5,2.4,Lux,4,2.3
4251572080,True,False,Aatrox,3,1.5,Jarvan IV,10,21.0,Akali,4,1.8,Soraka,1,3.6,Aphelios,10,3.5,Mordekaiser,4,2.5,Viego,5,1.0,Karma,3,1.6666666666666667,Ezreal,6,0.875,Leona,1,1.0
4251403578,False,True,Camille,7,1.375,Master Yi,3,1.1428571428571428,Yasuo,2,0.6666666666666666,Nautilus,1,1.0,Ezreal,4,1.4,Irelia,5,1.75,Rammus,6,8.0,Katarina,14,10.5,Kai'Sa,7,8.5,Leona,1,10.0
4250631950,False,True,Akali,9,2.5,Kayn,5,1.5454545454545454,Cassiopeia,10,2.5714285714285716,Thresh,4,3.0,Xayah,10,3.6666666666666665,Fiora,6,1.8888888888888888,Jarvan IV,3,2.3333333333333335,Yasuo,17,2.888888888888889,Kai'Sa,12,4.166666666666667,Yuumi,1,5.2
4249706191,True,False,Singed,4,14.0,Talon,13,4.0,Ahri,3,3.6666666666666665,Blitzcrank,2,5.25,Ashe,9,9.0,Akali,1,0.6,Graves,8,4.666666666666667,Lissandra,1,1.5,Jhin,4,0.8571428571428571,Nautilus,0,0.4
4249710213,True,False,Akali,4,4.0,Kha'Zix,7,13.0,Cassiopeia,4,4.5,Pantheon,3,4.0,Kai'Sa,14,4.75,Gangplank,4,2.3333333333333335,Olaf,4,0.625,Ryze,0,0.7142857142857143,Aphelios,4,1.0,Seraphine,1,1.0
4247789680,False,True,Malphite,1,1.0,Lee Sin,1,1.0,Qiyana,4,0.5454545454545454,Alistar,0,1.0,Vayne,5,1.25,Akali,4,1.3333333333333333,Rek'Sai,6,12.0,Rumble,12,6.333333333333333,Jhin,4,10.0,Morgana,3,2.5
4247794168,True,False,Akali,10,10.5,Vi,10,8.666666666666666,Sylas,17,4.333333333333333,Pyke,4,1.7777777777777777,Jhin,8,3.6666666666666665,Fiora,1,0.9,Volibear,3,1.125,Yasuo,5,0.7692307692307693,Caitlyn,9,2.0,Taliyah,8,1.8
4247736076,True,False,Irelia,5,3.0,Fiddlesticks,8,6.333333333333333,Akali,7,2.0,Senna,4,3.5,Lucian,14,3.2857142857142856,Zeri,8,1.0,Rek'Sai,10,1.8571428571428572,Karma,4,1.8,Jinx,1,0.8181818181818182,Leona,4,2.75
4246948912,False,True,Yorick,2,0.8,Skarner,3,1.0,Akali,4,0.625,Senna,1,0.5714285714285714,Jhin,2,1.5,Camille,10,4.333333333333333,Hecarim,5,14.0,Ahri,8,5.0,Kai'Sa,6,11.0,Nautilus,1,3.0
4246970153,False,True,Kayle,2,1.5,Viego,3,1.1428571428571428,Yone,4,0.7777777777777778,Yuumi,0,0.0,Zeri,0,0.0,Akali,6,3.3333333333333335,Rammus,9,6.5,Singed,1,2.0,Caitlyn,7,13.0,Janna,0,13.0
4246375288,True,False,Akali,6,8.0,Graves,10,7.5,Ahri,6,3.0,Zilean,2,5.0,Caitlyn,2,2.5,Tryndamere,1,0.16666666666666666,Taliyah,4,1.75,Malzahar,1,0.6,Lucian,5,1.2,Nami,1,1.3333333333333333
4246251453,False,True,Akali,4,3.0,Kha'Zix,5,1.5,Katarina,8,1.3,Nami,0,2.25,Lucian,4,0.5555555555555556,Shen,1,2.4,Graves,24,6.0,Lux,7,10.5,Kai'Sa,7,3.1666666666666665,Sona,0,9.333333333333334
4245964264,False,True,Gragas,3,2.8333333333333335,Kayn,10,2.875,Vex,4,2.5714285714285716,Soraka,0,2.4,Vayne,15,3.8333333333333335,Irelia,3,2.6,Diana,7,3.8,Ekko,11,3.1666666666666665,Ezreal,14,3.7142857142857144,Thresh,2,3.0
4240219682,False,True,Zeri,0,0.6666666666666666,Diana,3,0.8333333333333334,Sylas,0,0.16666666666666666,Yuumi,2,6.0,Ezreal,4,1.25,Camille,6,6.0,Graves,3,9.0,Ahri,9,4.0,Lucian,5,2.75,Nami,3,9.0
